norm,clausule,clausule_titel,classificatie,thema,thema_bron,document_naam,herkomst,beschrijving,onderbouwing,doc_id,doc_url,classified_at
27001,5.27,Leren van informatiebeveiligingsincidenten,NC,Memo & afwijkingsregistratie,v2_keywords,Interne Audit -Q1 2025,Drive,Document vermeldt gestructureerde incidentafhandeling via memo-procedure (Jira-tracking). Lering uit incidenten wordt gedocumenteerd maar expliciete analyse van lesson-learned-proces ontbreekt in auditverslag.,ISO 27001:2023 clausule 5.27 vereist learning van beveiligingsincidenten en documented actions. Procedure exists maar diepte van lering-analyse niet aangetoond.,9560490f935f4aa2e648b5,https://example.invalid/d/9560490f935f4aa2e648b5/view,2026-01-01T00:00:00Z
27001,6.5,Verantwoordelijkheden na beëindiging of wijziging van het dienstverband,NC,Memo & afwijkingsregistratie,v2_keywords,Memo afwijking Offboarding Medewerker A,Drive,"Onverwachte beëindiging (no-show) blootgelegd via memo. Corrigerende maatregelen (takenherziening, kennisdeling, toegangsrevocatie impliciet) in gang. Ontbreekt: formeel offboarding-checklist en geplande vervolgacties.",ISO 27001:2022 6.5 vereist gedefinieerde verantwoordelijkheden bij beëindiging. Memo bewijst respons; ontbreken: gedocumenteerde offboarding-procedure en sluitingsdatum.,c571faeb31849ba7dba735,https://example.invalid/d/c571faeb31849ba7dba735/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,OFI,Memo & afwijkingsregistratie,v2_keywords,Memo afwijking Sprintmethodiek werkt niet naar behoren,Drive,,,b28a355737c0c0d8365b6f,https://example.invalid/d/b28a355737c0c0d8365b6f/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,OFI,Memo & afwijkingsregistratie,v2_keywords,Memo afwijking VPN / Bitlocker ,Drive,,,595763fa96b8945567e09b,https://example.invalid/d/595763fa96b8945567e09b/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,OFI,Memo & afwijkingsregistratie,v2_keywords,Incident mail 15-08-2025,Drive,,,02525ec33eca981bc2036c,https://example.invalid/d/02525ec33eca981bc2036c/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,OFI,Auditprogramma,v2_keywords,Q42023 en Q12024 opvolging interne audit.docx,Drive,,,9b12447402ccca5af750e4,https://example.invalid/d/9b12447402ccca5af750e4/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,OFI,Auditprogramma,v2_keywords,Opvolging interne audit Q1 en Q2 2025.docx,Drive,,,729448a6da4e2d0e8caeb4,https://example.invalid/d/729448a6da4e2d0e8caeb4/view,2026-01-01T00:00:00Z
9001,10.3,Continue verbetering,OFI,Auditprogramma,v2_keywords,Q42023 en Q12024 opvolging interne audit.docx,Drive,,,9b12447402ccca5af750e4,https://example.invalid/d/9b12447402ccca5af750e4/view,2026-01-01T00:00:00Z
9001,10.3,Continue verbetering,OFI,Logging & monitoring,v2_keywords,Jaarevaluatie 2023.docx,Drive,"Continue verbetering wordt beoogd via jaarevaluatie, maar er ontbreekt documentatie van een systematisch proces voor identificatie, implementatie en monitoring van verbeteringen gedurende het jaar.",ISO 9001:2015 10.3 vereist aantoonbare continue verbetering van het managementsysteem. Jaarlijkse evaluatie alleen is onvoldoende; procesbewaking over het jaar moet gedocumenteerd zijn.,dccbeba8f92b1771c4d7cc,https://example.invalid/d/dccbeba8f92b1771c4d7cc/view,2026-01-01T00:00:00Z
27001,5.15,Toegangsbeheersing,OFI,Logging & monitoring,v2_keywords,Logging & Compliance,Drive,"Logging-scope is gekoppeld aan toegang (inzage in logs beperkt tot bepaalde rollen/functies). Dit raakt toegangsbeheersing, maar concrete beleidsregels en toekenningsmatrix ontbreken.","ISO 27001:2022 5.15 vereist formeel beleid voor toegangsbeheersing. Document stelt logging-toegang als eis, maar geen beleids-document of matrix.",686d93cda44c3c53d6244b,https://example.invalid/d/686d93cda44c3c53d6244b/view,2026-01-01T00:00:00Z
27001,5.18,Toegangsrechten,OFI,Logging & monitoring,v2_keywords,Miro: bugs in de logging moeten in jira en moeten nog achter RBAC...,Miro,"[OPGEPAKT 2026-04-20: scope RBAC op logging ter discussie — voorstel ingediend (risicogestuurd, proportioneel): applicatie-events + rolgebaseerde logtoegang; infra-toegang beperkt + persoonsgebonden credentials; GWS auditlogs op MT-niveau; jaarlijks herijken. PDCA-plan beschikbaar. Zie Miro-sticky naast originele bevinding.] Bugs in logging moeten achter RBAC, maar dit is nog niet geïmplementeerd. Geen bewijs van volledige controle.",ISO 27001 5.18: Toegangsrechten moeten formeel beheerd en gecontroleerd worden.,b2b5382ee4253052dd67e6,,2026-01-01T00:00:00Z
27001,5.12,Classificatie van informatie,OFI,Privacy & persoonsgegevens,v2_keywords,AVG handboek.docx,Drive,"Handboek verwijst naar vertrouwelijkheid intern, maar formele classificatierichtlijn (public, internal, confidential) voor documenten en informatie is in dit fragment niet uitgewerkt.","Norm vereist informatieclassificatie. Handboek toont intentie via managementverklaring, maar concrete classificatietabel/procedure ontbreekt.",ce6dfb5302d3a4c2f3143d,https://example.invalid/d/ce6dfb5302d3a4c2f3143d/view,2026-01-01T00:00:00Z
9001,10.1,Algemeen (verbetering),positief,Auditprogramma,v2_keywords,Processen en procedures.docx,Drive,Document beschrijft PDCA-cyclus expliciet met 'Check' en 'Act' fasen via evaluaties en bijsturing. Wijzigingen vastgesteld op basis van 0-meting en interne audit.,ISO 9001:2015 vereist bepalen van verbeterbehoeften en uitvoering. Cyclus en evaluatie-afhandeling zijn gedocumenteerd.,cd571a7d057264a15173f0,https://example.invalid/d/cd571a7d057264a15173f0/view,2026-01-01T00:00:00Z
9001,10.2,Non-conformiteit en corrigerende maatregel,positief,Auditprogramma,v2_keywords,Interne Audit Q3 2024,Drive,Auditverslag Q3 2024 vermeldt externe audit Q2 zonder punten naar voren. Dit bewijst dat de non-conformiteit- en corrigerende-maatregel-procedure werkzaam is en punten systematisch worden opvolgen.,ISO 27001:2022 10.2 vereist procedure voor NC en correctieve maatregelen; aanwezigheid van interne audit met resultaten en opvolging is aantoonbaar bewijs.,e55ef60669b80279c28450,https://example.invalid/d/e55ef60669b80279c28450/view,2026-01-01T00:00:00Z
9001,10.3,Continue verbetering,positief,Auditprogramma,v2_keywords,Processen en procedures.docx,Drive,"OrganisatieX demonstreert continue verbetering via versiehistorie (v3.0), wijzigingen gebaseerd op 0-meting en interne audit 2022 en evaluaties eind 2022.",ISO 9001:2015 vereist aanwijzing van continue verbetering. Documenten volgen versiehistorie en zijn herhaaldelijk aangepast op basis van audits.,cd571a7d057264a15173f0,https://example.invalid/d/cd571a7d057264a15173f0/view,2026-01-01T00:00:00Z
9001,4.4,Kwaliteitsmanagementsysteem en de processen ervan,positief,Auditprogramma,v2_keywords,Interne Audit Q4 2023,Drive,QMS-beleid geverifieerd in interne audit. Auditdoelstelling expliciet gericht op verificatie kwaliteitsmanagementsysteembeleid. Processen OrganisatieX opgenomen in auditcriteria.,ISO 9001:2015 clausule 4.4 vereist QMS-processen; interne audit bevestigt dat QMS-beleid en processen systematisch geverifieerd en gedocumenteerd zijn.,8852a1edbf5d18bc100963,https://example.invalid/d/8852a1edbf5d18bc100963/view,2026-01-01T00:00:00Z
27001,5.5,Contact met autoriteiten,positief,Memo & afwijkingsregistratie,v2_keywords,Miro: Observatie 8.5 over procesverstoringen. Beheer wordt nu bela...,Miro,SLA voor open WOO app met duidelijke categorisering (P1-P4) aanwezig. Toont procesmanagement voor verstoringen.,ISO 9001 8.5 & ISO 27001 A.17.1: Servicecontinuïteit en incidentbeheer moeten gestructureerd zijn.,b6d36f0fe3112d729cd1e2,,2026-01-01T00:00:00Z
27001,8.15,Logging,geen bevinding,Logging & monitoring,v2_keywords,Implementatie nieuwe ISO-27001 norm.docx,Drive,Document behandelt logging niet.,Onvoldoende informatie voor beoordeling; zie separaat auditverslag.,e1187bb6f51f5c36484e28,https://example.invalid/d/e1187bb6f51f5c36484e28/view,2026-01-01T00:00:00Z
beide,8.4,Toegang tot broncode,positief,Auditprogramma,v2_keywords,Interne Audit Q3 2024,Drive,Auditscope omvat toetsing van KMS- en RMS-naleving inclusief processen OrganisatieX. Verslag documenteert systematische beoordeling van controlesystemen.,ISO 27001:2022 8.4 vereist controle op toegang tot broncode; aanwezigheid van periodieke interne audit met steekproeven op clausules bewijst dat deze controle routinematig wordt geverifieerd.,e55ef60669b80279c28450,https://example.invalid/d/e55ef60669b80279c28450/view,2026-01-01T00:00:00Z
beide,8.5,Veilige authenticatie,positief,Auditprogramma,v2_keywords,Interne Audit -Q1 2025,Drive,Authenticatie-veiligheid onderdeel van ISO 27001:2023 auditscope. Interviews en documentbeoordeling gericht op verificatie van mechanismen. Geen bevinding op authentication-controls gerapporteerd.,ISO 27001:2023 clausule 8.5 vereist secure authentication policy/controls. Auditbevoegdheid en afwezigheid NC duidt op compliance.,9560490f935f4aa2e648b5,https://example.invalid/d/9560490f935f4aa2e648b5/view,2026-01-01T00:00:00Z
